Date,Experiment,Species,Day,Ramp-point,Timepoint,Temp,Incubation_temp,Ramp,Tank,Site,Geno,NetPS,Resp
8012019,Indoor,Porites,4,T1-Slow,T1,36.5,33.5,Slow,5,Exposed,PoEx3,0.519211178,-0.791324528
8012019,Indoor,Porites,4,T1-Slow,T1,36.5,33.5,Slow,5,Exposed,PoEx4,0.274690174,-1.133745151
8012019,Indoor,Porites,4,T1-Slow,T1,36.5,33.5,Slow,5,Protected,PoPr2,0.250153387,-0.642765583
8012019,Indoor,Porites,4,T1-Slow,T1,36.5,33.5,Slow,5,Protected,PoPr3,0.362097914,-0.615892755
8012019,Indoor,Porites,4,T1-Slow,T1,36.5,33.5,Slow,5,Protected,PoPr4,0.263214249,-0.989750358
8012019,Indoor,Porites,4,T1-Slow,T1,36.5,33.5,Slow,5,Protected,PoPr5,0.18495215,-0.679227281
8042019,Indoor,Porites,7,T2-Slow,T2,36.5,35,Slow,5,Exposed,PoEx1,0.171309165,-0.378330705
8042019,Indoor,Porites,7,T2-Slow,T2,36.5,35,Slow,5,Exposed,PoEx2,0.733149763,-0.829266199
8042019,Indoor,Porites,7,T2-Slow,T2,36.5,35,Slow,5,Exposed,PoEx3,-0.04979486,-0.966913082
8042019,Indoor,Porites,7,T2-Slow,T2,36.5,35,Slow,5,Exposed,PoEx4,0.062816386,-0.94997876
8042019,Indoor,Porites,7,T2-Slow,T2,36.5,35,Slow,5,Exposed,PoEx5,0.184618287,-1.034689764
8042019,Indoor,Porites,7,T2-Slow,T2,36.5,35,Slow,5,Protected,PoPr1,0.29622122,-0.749601472
8042019,Indoor,Porites,7,T2-Slow,T2,36.5,35,Slow,5,Protected,PoPr3,0.115626093,-0.297533543
8042019,Indoor,Porites,7,T2-Slow,T2,36.5,35,Slow,5,Protected,PoPr4,0.207054522,-0.395607814
