RecNum	DateTime	KAUST_LT_Tank12-F36.5B
232	07/27/19 01:15:00 PM	29.452
233	07/27/19 01:20:00 PM	29.452
234	07/27/19 01:25:00 PM	29.452
235	07/27/19 01:30:00 PM	29.452
236	07/27/19 01:35:00 PM	29.552
237	07/27/19 01:40:00 PM	29.552
238	07/27/19 01:45:00 PM	29.552
239	07/27/19 01:50:00 PM	29.552
240	07/27/19 01:55:00 PM	29.452
241	07/27/19 02:00:00 PM	29.452
242	07/27/19 02:05:00 PM	29.452
243	07/27/19 02:10:00 PM	29.552
244	07/27/19 02:15:00 PM	29.552
245	07/27/19 02:20:00 PM	29.452
246	07/27/19 02:25:00 PM	29.452
247	07/27/19 02:30:00 PM	29.452
248	07/27/19 02:35:00 PM	29.452
249	07/27/19 02:40:00 PM	29.452
250	07/27/19 02:45:00 PM	29.552
251	07/27/19 02:50:00 PM	29.552
252	07/27/19 02:55:00 PM	29.552
253	07/27/19 03:00:00 PM	29.552
254	07/27/19 03:05:00 PM	29.552
255	07/27/19 03:10:00 PM	29.452
256	07/27/19 03:15:00 PM	29.452
257	07/27/19 03:20:00 PM	29.452
258	07/27/19 03:25:00 PM	29.452
259	07/27/19 03:30:00 PM	29.352
260	07/27/19 03:35:00 PM	29.452
261	07/27/19 03:40:00 PM	29.452
262	07/27/19 03:45:00 PM	29.452
263	07/27/19 03:50:00 PM	29.452
264	07/27/19 03:55:00 PM	29.452
265	07/27/19 04:00:00 PM	29.352
266	07/27/19 04:05:00 PM	29.452
267	07/27/19 04:10:00 PM	29.452
268	07/27/19 04:15:00 PM	29.452
269	07/27/19 04:20:00 PM	29.452
270	07/27/19 04:25:00 PM	29.452
271	07/27/19 04:30:00 PM	29.452
272	07/27/19 04:35:00 PM	29.452
273	07/27/19 04:40:00 PM	29.352
274	07/27/19 04:45:00 PM	29.452
275	07/27/19 04:50:00 PM	29.452
276	07/27/19 04:55:00 PM	29.452
277	07/27/19 05:00:00 PM	29.452
278	07/27/19 05:05:00 PM	29.552
279	07/27/19 05:10:00 PM	29.452
280	07/27/19 05:15:00 PM	29.452
281	07/27/19 05:20:00 PM	29.452
282	07/27/19 05:25:00 PM	29.452
283	07/27/19 05:30:00 PM	29.452
284	07/27/19 05:35:00 PM	29.452
285	07/27/19 05:40:00 PM	29.452
286	07/27/19 05:45:00 PM	29.452
287	07/27/19 05:50:00 PM	29.452
288	07/27/19 05:55:00 PM	29.352
289	07/27/19 06:00:00 PM	29.452
290	07/27/19 06:05:00 PM	29.452
291	07/27/19 06:10:00 PM	29.452
292	07/27/19 06:15:00 PM	29.452
293	07/27/19 06:20:00 PM	29.452
294	07/27/19 06:25:00 PM	29.452
295	07/27/19 06:30:00 PM	29.452
296	07/27/19 06:35:00 PM	29.452
297	07/27/19 06:40:00 PM	29.452
298	07/27/19 06:45:00 PM	29.352
299	07/27/19 06:50:00 PM	29.352
300	07/27/19 06:55:00 PM	29.352
301	07/27/19 07:00:00 PM	29.452
302	07/27/19 07:05:00 PM	29.452
303	07/27/19 07:10:00 PM	29.452
304	07/27/19 07:15:00 PM	29.352
305	07/27/19 07:20:00 PM	29.352
306	07/27/19 07:25:00 PM	29.352
307	07/27/19 07:30:00 PM	29.352
308	07/27/19 07:35:00 PM	29.352
309	07/27/19 07:40:00 PM	29.452
310	07/27/19 07:45:00 PM	29.452
311	07/27/19 07:50:00 PM	29.352
312	07/27/19 07:55:00 PM	29.352
313	07/27/19 08:00:00 PM	29.352
314	07/27/19 08:05:00 PM	29.352
315	07/27/19 08:10:00 PM	29.352
316	07/27/19 08:15:00 PM	29.452
317	07/27/19 08:20:00 PM	29.352
318	07/27/19 08:25:00 PM	29.352
319	07/27/19 08:30:00 PM	29.352
320	07/27/19 08:35:00 PM	29.352
321	07/27/19 08:40:00 PM	29.352
322	07/27/19 08:45:00 PM	29.352
323	07/27/19 08:50:00 PM	29.452
324	07/27/19 08:55:00 PM	29.452
325	07/27/19 09:00:00 PM	29.352
326	07/27/19 09:05:00 PM	29.352
327	07/27/19 09:10:00 PM	29.352
328	07/27/19 09:15:00 PM	29.352
329	07/27/19 09:20:00 PM	29.352
330	07/27/19 09:25:00 PM	29.352
331	07/27/19 09:30:00 PM	29.452
332	07/27/19 09:35:00 PM	29.452
333	07/27/19 09:40:00 PM	29.352
334	07/27/19 09:45:00 PM	29.352
335	07/27/19 09:50:00 PM	29.352
336	07/27/19 09:55:00 PM	29.352
337	07/27/19 10:00:00 PM	29.352
338	07/27/19 10:05:00 PM	29.352
339	07/27/19 10:10:00 PM	29.352
340	07/27/19 10:15:00 PM	29.352
341	07/27/19 10:20:00 PM	29.352
342	07/27/19 10:25:00 PM	29.352
343	07/27/19 10:30:00 PM	29.352
344	07/27/19 10:35:00 PM	29.352
345	07/27/19 10:40:00 PM	29.352
346	07/27/19 10:45:00 PM	29.352
347	07/27/19 10:50:00 PM	29.352
348	07/27/19 10:55:00 PM	29.452
349	07/27/19 11:00:00 PM	29.352
350	07/27/19 11:05:00 PM	29.352
351	07/27/19 11:10:00 PM	29.352
352	07/27/19 11:15:00 PM	29.352
353	07/27/19 11:20:00 PM	29.352
354	07/27/19 11:25:00 PM	29.352
355	07/27/19 11:30:00 PM	29.352
356	07/27/19 11:35:00 PM	29.352
357	07/27/19 11:40:00 PM	29.352
358	07/27/19 11:45:00 PM	29.452
359	07/27/19 11:50:00 PM	29.452
360	07/27/19 11:55:00 PM	29.352
361	07/28/19 12:00:00 AM	29.352
362	07/28/19 12:05:00 AM	29.352
363	07/28/19 12:10:00 AM	29.352
364	07/28/19 12:15:00 AM	29.352
365	07/28/19 12:20:00 AM	29.452
366	07/28/19 12:25:00 AM	29.352
367	07/28/19 12:30:00 AM	29.352
368	07/28/19 12:35:00 AM	29.352
369	07/28/19 12:40:00 AM	29.352
370	07/28/19 12:45:00 AM	29.352
371	07/28/19 12:50:00 AM	29.352
372	07/28/19 12:55:00 AM	29.452
373	07/28/19 01:00:00 AM	29.452
374	07/28/19 01:05:00 AM	29.452
375	07/28/19 01:10:00 AM	29.452
376	07/28/19 01:15:00 AM	29.352
377	07/28/19 01:20:00 AM	29.352
378	07/28/19 01:25:00 AM	29.352
379	07/28/19 01:30:00 AM	29.352
380	07/28/19 01:35:00 AM	29.252
381	07/28/19 01:40:00 AM	29.352
382	07/28/19 01:45:00 AM	29.352
383	07/28/19 01:50:00 AM	29.352
384	07/28/19 01:55:00 AM	29.352
385	07/28/19 02:00:00 AM	29.352
386	07/28/19 02:05:00 AM	29.252
387	07/28/19 02:10:00 AM	29.352
388	07/28/19 02:15:00 AM	29.352
389	07/28/19 02:20:00 AM	29.352
390	07/28/19 02:25:00 AM	29.352
391	07/28/19 02:30:00 AM	29.352
392	07/28/19 02:35:00 AM	29.352
393	07/28/19 02:40:00 AM	29.352
394	07/28/19 02:45:00 AM	29.252
395	07/28/19 02:50:00 AM	29.352
396	07/28/19 02:55:00 AM	29.352
397	07/28/19 03:00:00 AM	29.352
398	07/28/19 03:05:00 AM	29.352
399	07/28/19 03:10:00 AM	29.352
400	07/28/19 03:15:00 AM	29.352
401	07/28/19 03:20:00 AM	29.252
402	07/28/19 03:25:00 AM	29.252
403	07/28/19 03:30:00 AM	29.352
404	07/28/19 03:35:00 AM	29.352
405	07/28/19 03:40:00 AM	29.352
406	07/28/19 03:45:00 AM	29.352
407	07/28/19 03:50:00 AM	29.352
408	07/28/19 03:55:00 AM	29.352
409	07/28/19 04:00:00 AM	29.352
410	07/28/19 04:05:00 AM	29.252
411	07/28/19 04:10:00 AM	29.252
412	07/28/19 04:15:00 AM	29.352
413	07/28/19 04:20:00 AM	29.352
414	07/28/19 04:25:00 AM	29.352
415	07/28/19 04:30:00 AM	29.352
416	07/28/19 04:35:00 AM	29.252
417	07/28/19 04:40:00 AM	29.252
418	07/28/19 04:45:00 AM	29.352
419	07/28/19 04:50:00 AM	29.352
420	07/28/19 04:55:00 AM	29.352
421	07/28/19 05:00:00 AM	29.352
422	07/28/19 05:05:00 AM	29.252
423	07/28/19 05:10:00 AM	29.252
424	07/28/19 05:15:00 AM	29.252
425	07/28/19 05:20:00 AM	29.252
426	07/28/19 05:25:00 AM	29.252
427	07/28/19 05:30:00 AM	29.352
428	07/28/19 05:35:00 AM	29.352
429	07/28/19 05:40:00 AM	29.352
430	07/28/19 05:45:00 AM	29.352
431	07/28/19 05:50:00 AM	29.352
432	07/28/19 05:55:00 AM	29.352
433	07/28/19 06:00:00 AM	29.352
434	07/28/19 06:05:00 AM	29.252
435	07/28/19 06:10:00 AM	29.252
436	07/28/19 06:15:00 AM	29.252
437	07/28/19 06:20:00 AM	29.352
438	07/28/19 06:25:00 AM	29.352
439	07/28/19 06:30:00 AM	29.352
440	07/28/19 06:35:00 AM	29.252
441	07/28/19 06:40:00 AM	29.252
442	07/28/19 06:45:00 AM	29.252
443	07/28/19 06:50:00 AM	29.352
444	07/28/19 06:55:00 AM	29.352
445	07/28/19 07:00:00 AM	29.352
446	07/28/19 07:05:00 AM	29.352
447	07/28/19 07:10:00 AM	29.352
448	07/28/19 07:15:00 AM	29.352
449	07/28/19 07:20:00 AM	29.252
450	07/28/19 07:25:00 AM	29.252
451	07/28/19 07:30:00 AM	29.252
452	07/28/19 07:35:00 AM	29.252
453	07/28/19 07:40:00 AM	29.252
454	07/28/19 07:45:00 AM	29.352
455	07/28/19 07:50:00 AM	29.352
456	07/28/19 07:55:00 AM	29.252
457	07/28/19 08:00:00 AM	29.252
458	07/28/19 08:05:00 AM	29.252
459	07/28/19 08:10:00 AM	29.252
460	07/28/19 08:15:00 AM	29.252
461	07/28/19 08:20:00 AM	29.252
462	07/28/19 08:25:00 AM	29.252
463	07/28/19 08:30:00 AM	29.252
464	07/28/19 08:35:00 AM	29.252
465	07/28/19 08:40:00 AM	29.252
466	07/28/19 08:45:00 AM	29.152
467	07/28/19 08:50:00 AM	29.252
468	07/28/19 08:55:00 AM	29.252
469	07/28/19 09:00:00 AM	29.252
470	07/28/19 09:05:00 AM	29.252
471	07/28/19 09:10:00 AM	29.252
472	07/28/19 09:15:00 AM	29.252
473	07/28/19 09:20:00 AM	29.252
474	07/28/19 09:25:00 AM	29.252
475	07/28/19 09:30:00 AM	29.252
476	07/28/19 09:35:00 AM	29.252
477	07/28/19 09:40:00 AM	29.252
478	07/28/19 09:45:00 AM	29.352
479	07/28/19 09:50:00 AM	29.252
480	07/28/19 09:55:00 AM	29.252
481	07/28/19 10:00:00 AM	29.252
482	07/28/19 10:05:00 AM	29.252
483	07/28/19 10:10:00 AM	29.352
484	07/28/19 10:15:00 AM	29.352
485	07/28/19 10:20:00 AM	29.352
486	07/28/19 10:25:00 AM	29.352
487	07/28/19 10:30:00 AM	29.252
488	07/28/19 10:35:00 AM	29.352
489	07/28/19 10:40:00 AM	29.352
490	07/28/19 10:45:00 AM	29.352
491	07/28/19 10:50:00 AM	29.352
492	07/28/19 10:55:00 AM	29.352
493	07/28/19 11:00:00 AM	29.352
494	07/28/19 11:05:00 AM	29.352
495	07/28/19 11:10:00 AM	29.352
496	07/28/19 11:15:00 AM	29.352
497	07/28/19 11:20:00 AM	29.352
498	07/28/19 11:25:00 AM	29.352
499	07/28/19 11:30:00 AM	29.352
500	07/28/19 11:35:00 AM	29.352
501	07/28/19 11:40:00 AM	29.352
502	07/28/19 11:45:00 AM	29.352
503	07/28/19 11:50:00 AM	29.352
504	07/28/19 11:55:00 AM	29.352
505	07/28/19 12:00:00 PM	29.452
506	07/28/19 12:05:00 PM	29.352
507	07/28/19 12:10:00 PM	29.352
508	07/28/19 12:15:00 PM	29.352
509	07/28/19 12:20:00 PM	29.352
510	07/28/19 12:25:00 PM	29.452
511	07/28/19 12:30:00 PM	29.352
512	07/28/19 12:35:00 PM	29.352
513	07/28/19 12:40:00 PM	29.352
514	07/28/19 12:45:00 PM	29.352
515	07/28/19 12:50:00 PM	29.352
516	07/28/19 12:55:00 PM	29.452
517	07/28/19 01:00:00 PM	29.452
518	07/28/19 01:05:00 PM	29.452
519	07/28/19 01:10:00 PM	29.452
520	07/28/19 01:15:00 PM	29.452
521	07/28/19 01:20:00 PM	29.352
522	07/28/19 01:25:00 PM	29.352
523	07/28/19 01:30:00 PM	29.352
524	07/28/19 01:35:00 PM	29.352
525	07/28/19 01:40:00 PM	29.352
526	07/28/19 01:45:00 PM	29.452
527	07/28/19 01:50:00 PM	29.552
528	07/28/19 01:55:00 PM	29.652
529	07/28/19 02:00:00 PM	29.652
530	07/28/19 02:05:00 PM	29.752
531	07/28/19 02:10:00 PM	29.853
532	07/28/19 02:15:00 PM	29.953
533	07/28/19 02:20:00 PM	30.054
534	07/28/19 02:25:00 PM	30.054
535	07/28/19 02:30:00 PM	29.953
536	07/28/19 02:35:00 PM	29.853
537	07/28/19 02:40:00 PM	28.555
538	07/28/19 02:45:00 PM	29.652
539	07/28/19 02:50:00 PM	29.953
540	07/28/19 02:55:00 PM	30.154
541	07/28/19 03:00:00 PM	30.255
542	07/28/19 03:05:00 PM	30.457
543	07/28/19 03:10:00 PM	30.659
544	07/28/19 03:15:00 PM	30.760
545	07/28/19 03:20:00 PM	30.963
546	07/28/19 03:25:00 PM	31.064
547	07/28/19 03:30:00 PM	31.268
548	07/28/19 03:35:00 PM	31.370
549	07/28/19 03:40:00 PM	31.472
550	07/28/19 03:45:00 PM	31.574
551	07/28/19 03:50:00 PM	31.676
552	07/28/19 03:55:00 PM	31.778
553	07/28/19 04:00:00 PM	31.880
554	07/28/19 04:05:00 PM	31.983
555	07/28/19 04:10:00 PM	32.086
556	07/28/19 04:15:00 PM	32.086
557	07/28/19 04:20:00 PM	32.188
558	07/28/19 04:25:00 PM	32.291
559	07/28/19 04:30:00 PM	32.394
560	07/28/19 04:35:00 PM	32.497
561	07/28/19 04:40:00 PM	32.600
562	07/28/19 04:45:00 PM	32.704
563	07/28/19 04:50:00 PM	32.704
564	07/28/19 04:55:00 PM	32.807
565	07/28/19 05:00:00 PM	32.807
566	07/28/19 05:05:00 PM	32.911
567	07/28/19 05:10:00 PM	32.911
568	07/28/19 05:15:00 PM	33.014
569	07/28/19 05:20:00 PM	33.014
570	07/28/19 05:25:00 PM	33.118
571	07/28/19 05:30:00 PM	33.118
572	07/28/19 05:35:00 PM	33.222
573	07/28/19 05:40:00 PM	33.222
574	07/28/19 05:45:00 PM	33.222
575	07/28/19 05:50:00 PM	33.326
576	07/28/19 05:55:00 PM	33.326
577	07/28/19 06:00:00 PM	33.326
578	07/28/19 06:05:00 PM	33.326
579	07/28/19 06:10:00 PM	33.326
580	07/28/19 06:15:00 PM	33.326
581	07/28/19 06:20:00 PM	33.326
582	07/28/19 06:25:00 PM	33.430
583	07/28/19 06:30:00 PM	33.639
584	07/28/19 06:35:00 PM	33.743
585	07/28/19 06:40:00 PM	33.743
586	07/28/19 06:45:00 PM	33.326
587	07/28/19 06:50:00 PM	32.188
588	07/28/19 06:55:00 PM	31.472
589	07/28/19 07:00:00 PM	30.862
590	07/28/19 07:05:00 PM	30.356
591	07/28/19 07:10:00 PM	30.054
592	07/28/19 07:15:00 PM	29.652
593	07/28/19 07:20:00 PM	29.352
594	07/28/19 07:25:00 PM	29.152
595	07/28/19 07:30:00 PM	29.053
596	07/28/19 07:35:00 PM	28.953
597	07/28/19 07:40:00 PM	28.754
598	07/28/19 07:45:00 PM	28.754
599	07/28/19 07:50:00 PM	28.953
600	07/28/19 07:55:00 PM	29.053
601	07/28/19 08:00:00 PM	29.053
602	07/28/19 08:05:00 PM	29.053
603	07/28/19 08:10:00 PM	29.053
604	07/28/19 08:15:00 PM	29.152
605	07/28/19 08:20:00 PM	29.252
606	07/28/19 08:25:00 PM	29.252
607	07/28/19 08:30:00 PM	29.252
608	07/28/19 08:35:00 PM	29.252
609	07/28/19 08:40:00 PM	29.252
610	07/28/19 08:45:00 PM	29.252
611	07/28/19 08:50:00 PM	29.252
612	07/28/19 08:55:00 PM	29.252
613	07/28/19 09:00:00 PM	29.252
614	07/28/19 09:05:00 PM	29.252
615	07/28/19 09:10:00 PM	29.252
616	07/28/19 09:15:00 PM	29.252
617	07/28/19 09:20:00 PM	29.352
618	07/28/19 09:25:00 PM	29.352
619	07/28/19 09:30:00 PM	29.352
620	07/28/19 09:35:00 PM	29.252
621	07/28/19 09:40:00 PM	29.352
622	07/28/19 09:45:00 PM	29.552
623	07/28/19 09:50:00 PM	29.452
624	07/28/19 09:55:00 PM	29.552
625	07/28/19 10:00:00 PM	29.552
626	07/28/19 10:05:00 PM	29.452
627	07/28/19 10:10:00 PM	29.452
628	07/28/19 10:15:00 PM	29.552
629	07/28/19 10:20:00 PM	29.652
630	07/28/19 10:25:00 PM	29.752
631	07/28/19 10:30:00 PM	29.752
632	07/28/19 10:35:00 PM	29.652
633	07/28/19 10:40:00 PM	29.652
634	07/28/19 10:45:00 PM	29.552
635	07/28/19 10:50:00 PM	29.552
636	07/28/19 10:55:00 PM	29.652
637	07/28/19 11:00:00 PM	29.652
638	07/28/19 11:05:00 PM	29.652
639	07/28/19 11:10:00 PM	29.652
640	07/28/19 11:15:00 PM	29.652
641	07/28/19 11:20:00 PM	29.652
642	07/28/19 11:25:00 PM	29.752
643	07/28/19 11:30:00 PM	29.752
644	07/28/19 11:35:00 PM	29.853
645	07/28/19 11:40:00 PM	29.853
646	07/28/19 11:45:00 PM	29.853
647	07/28/19 11:50:00 PM	29.853
648	07/28/19 11:55:00 PM	29.853
649	07/29/19 12:00:00 AM	29.752
650	07/29/19 12:05:00 AM	29.752
651	07/29/19 12:10:00 AM	29.752
652	07/29/19 12:15:00 AM	29.853
653	07/29/19 12:20:00 AM	29.953
654	07/29/19 12:25:00 AM	30.054
655	07/29/19 12:30:00 AM	29.953
656	07/29/19 12:35:00 AM	29.853
657	07/29/19 12:40:00 AM	29.853
658	07/29/19 12:45:00 AM	29.953
659	07/29/19 12:50:00 AM	30.054
660	07/29/19 12:55:00 AM	30.054
661	07/29/19 01:00:00 AM	29.953
662	07/29/19 01:05:00 AM	30.054
