RecNum	DateTime	KAUST_LT_Tank1-S33.5A
209	07/27/19 11:20:00 AM	29.853
210	07/27/19 11:25:00 AM	29.853
211	07/27/19 11:30:00 AM	29.853
212	07/27/19 11:35:00 AM	29.853
213	07/27/19 11:40:00 AM	29.853
214	07/27/19 11:45:00 AM	29.853
215	07/27/19 11:50:00 AM	29.853
216	07/27/19 11:55:00 AM	29.853
217	07/27/19 12:00:00 PM	29.853
218	07/27/19 12:05:00 PM	29.853
219	07/27/19 12:10:00 PM	29.853
220	07/27/19 12:15:00 PM	29.853
221	07/27/19 12:20:00 PM	29.953
222	07/27/19 12:25:00 PM	29.953
223	07/27/19 12:30:00 PM	29.953
224	07/27/19 12:35:00 PM	29.953
225	07/27/19 12:40:00 PM	29.853
226	07/27/19 12:45:00 PM	29.853
227	07/27/19 12:50:00 PM	29.853
228	07/27/19 12:55:00 PM	29.953
229	07/27/19 01:00:00 PM	29.953
230	07/27/19 01:05:00 PM	29.953
231	07/27/19 01:10:00 PM	29.953
232	07/27/19 01:15:00 PM	29.953
233	07/27/19 01:20:00 PM	29.953
234	07/27/19 01:25:00 PM	29.953
235	07/27/19 01:30:00 PM	29.953
236	07/27/19 01:35:00 PM	29.953
237	07/27/19 01:40:00 PM	29.953
238	07/27/19 01:45:00 PM	30.054
239	07/27/19 01:50:00 PM	29.953
240	07/27/19 01:55:00 PM	29.953
241	07/27/19 02:00:00 PM	29.953
242	07/27/19 02:05:00 PM	29.953
243	07/27/19 02:10:00 PM	29.953
244	07/27/19 02:15:00 PM	29.953
245	07/27/19 02:20:00 PM	29.953
246	07/27/19 02:25:00 PM	29.953
247	07/27/19 02:30:00 PM	29.953
248	07/27/19 02:35:00 PM	29.953
249	07/27/19 02:40:00 PM	29.953
250	07/27/19 02:45:00 PM	29.953
251	07/27/19 02:50:00 PM	30.054
252	07/27/19 02:55:00 PM	29.953
253	07/27/19 03:00:00 PM	29.953
254	07/27/19 03:05:00 PM	29.953
255	07/27/19 03:10:00 PM	29.953
256	07/27/19 03:15:00 PM	29.953
257	07/27/19 03:20:00 PM	29.953
258	07/27/19 03:25:00 PM	29.953
