RecNum	DateTime	KAUST_LT_Tank14-Control_32B
263	07/27/19 03:50:00 PM	30.356
264	07/27/19 03:55:00 PM	30.356
265	07/27/19 04:00:00 PM	30.356
266	07/27/19 04:05:00 PM	30.356
267	07/27/19 04:10:00 PM	30.356
268	07/27/19 04:15:00 PM	30.356
269	07/27/19 04:20:00 PM	30.356
270	07/27/19 04:25:00 PM	30.457
271	07/27/19 04:30:00 PM	30.356
272	07/27/19 04:35:00 PM	30.356
273	07/27/19 04:40:00 PM	30.356
274	07/27/19 04:45:00 PM	30.356
275	07/27/19 04:50:00 PM	30.356
276	07/27/19 04:55:00 PM	30.457
277	07/27/19 05:00:00 PM	30.457
278	07/27/19 05:05:00 PM	30.457
279	07/27/19 05:10:00 PM	30.356
280	07/27/19 05:15:00 PM	30.356
281	07/27/19 05:20:00 PM	30.356
282	07/27/19 05:25:00 PM	30.356
283	07/27/19 05:30:00 PM	30.457
284	07/27/19 05:35:00 PM	30.457
285	07/27/19 05:40:00 PM	30.356
286	07/27/19 05:45:00 PM	30.356
287	07/27/19 05:50:00 PM	30.356
288	07/27/19 05:55:00 PM	30.356
289	07/27/19 06:00:00 PM	30.356
290	07/27/19 06:05:00 PM	30.457
291	07/27/19 06:10:00 PM	30.457
292	07/27/19 06:15:00 PM	30.457
293	07/27/19 06:20:00 PM	30.457
294	07/27/19 06:25:00 PM	30.457
295	07/27/19 06:30:00 PM	30.356
296	07/27/19 06:35:00 PM	30.356
297	07/27/19 06:40:00 PM	30.356
298	07/27/19 06:45:00 PM	30.356
299	07/27/19 06:50:00 PM	30.356
300	07/27/19 06:55:00 PM	30.356
301	07/27/19 07:00:00 PM	30.356
302	07/27/19 07:05:00 PM	30.356
303	07/27/19 07:10:00 PM	30.356
304	07/27/19 07:15:00 PM	30.356
305	07/27/19 07:20:00 PM	30.255
306	07/27/19 07:25:00 PM	30.356
307	07/27/19 07:30:00 PM	30.356
308	07/27/19 07:35:00 PM	30.356
309	07/27/19 07:40:00 PM	30.255
310	07/27/19 07:45:00 PM	30.356
311	07/27/19 07:50:00 PM	30.255
312	07/27/19 07:55:00 PM	30.255
313	07/27/19 08:00:00 PM	30.255
314	07/27/19 08:05:00 PM	30.255
315	07/27/19 08:10:00 PM	30.255
316	07/27/19 08:15:00 PM	30.255
317	07/27/19 08:20:00 PM	30.255
318	07/27/19 08:25:00 PM	30.255
319	07/27/19 08:30:00 PM	30.255
320	07/27/19 08:35:00 PM	30.255
321	07/27/19 08:40:00 PM	30.255
322	07/27/19 08:45:00 PM	30.255
323	07/27/19 08:50:00 PM	30.255
324	07/27/19 08:55:00 PM	30.255
325	07/27/19 09:00:00 PM	30.255
326	07/27/19 09:05:00 PM	30.255
327	07/27/19 09:10:00 PM	30.255
328	07/27/19 09:15:00 PM	30.154
329	07/27/19 09:20:00 PM	30.255
330	07/27/19 09:25:00 PM	30.255
331	07/27/19 09:30:00 PM	30.255
332	07/27/19 09:35:00 PM	30.255
333	07/27/19 09:40:00 PM	30.255
334	07/27/19 09:45:00 PM	30.255
335	07/27/19 09:50:00 PM	30.255
336	07/27/19 09:55:00 PM	30.255
337	07/27/19 10:00:00 PM	30.255
338	07/27/19 10:05:00 PM	30.255
339	07/27/19 10:10:00 PM	30.255
340	07/27/19 10:15:00 PM	30.255
341	07/27/19 10:20:00 PM	30.255
342	07/27/19 10:25:00 PM	30.154
343	07/27/19 10:30:00 PM	30.255
344	07/27/19 10:35:00 PM	30.255
345	07/27/19 10:40:00 PM	30.154
346	07/27/19 10:45:00 PM	30.255
347	07/27/19 10:50:00 PM	30.255
348	07/27/19 10:55:00 PM	30.255
349	07/27/19 11:00:00 PM	30.255
350	07/27/19 11:05:00 PM	30.255
351	07/27/19 11:10:00 PM	30.255
352	07/27/19 11:15:00 PM	30.255
353	07/27/19 11:20:00 PM	30.255
354	07/27/19 11:25:00 PM	30.255
355	07/27/19 11:30:00 PM	30.255
356	07/27/19 11:35:00 PM	30.255
357	07/27/19 11:40:00 PM	30.255
358	07/27/19 11:45:00 PM	30.255
359	07/27/19 11:50:00 PM	30.255
360	07/27/19 11:55:00 PM	30.255
361	07/28/19 12:00:00 AM	30.255
362	07/28/19 12:05:00 AM	30.255
363	07/28/19 12:10:00 AM	30.255
364	07/28/19 12:15:00 AM	30.255
365	07/28/19 12:20:00 AM	30.255
366	07/28/19 12:25:00 AM	30.255
367	07/28/19 12:30:00 AM	30.255
368	07/28/19 12:35:00 AM	30.255
369	07/28/19 12:40:00 AM	30.255
370	07/28/19 12:45:00 AM	30.255
371	07/28/19 12:50:00 AM	30.255
372	07/28/19 12:55:00 AM	30.255
373	07/28/19 01:00:00 AM	30.255
374	07/28/19 01:05:00 AM	30.255
375	07/28/19 01:10:00 AM	30.255
376	07/28/19 01:15:00 AM	30.255
377	07/28/19 01:20:00 AM	30.255
378	07/28/19 01:25:00 AM	30.255
379	07/28/19 01:30:00 AM	30.255
380	07/28/19 01:35:00 AM	30.255
381	07/28/19 01:40:00 AM	30.255
382	07/28/19 01:45:00 AM	30.255
383	07/28/19 01:50:00 AM	30.255
384	07/28/19 01:55:00 AM	30.255
385	07/28/19 02:00:00 AM	30.255
386	07/28/19 02:05:00 AM	30.154
387	07/28/19 02:10:00 AM	30.255
388	07/28/19 02:15:00 AM	30.255
389	07/28/19 02:20:00 AM	30.255
390	07/28/19 02:25:00 AM	30.255
391	07/28/19 02:30:00 AM	30.255
392	07/28/19 02:35:00 AM	30.255
393	07/28/19 02:40:00 AM	30.255
394	07/28/19 02:45:00 AM	30.255
395	07/28/19 02:50:00 AM	30.255
396	07/28/19 02:55:00 AM	30.255
397	07/28/19 03:00:00 AM	30.255
398	07/28/19 03:05:00 AM	30.255
399	07/28/19 03:10:00 AM	30.255
400	07/28/19 03:15:00 AM	30.255
401	07/28/19 03:20:00 AM	30.255
402	07/28/19 03:25:00 AM	30.255
403	07/28/19 03:30:00 AM	30.255
404	07/28/19 03:35:00 AM	30.255
405	07/28/19 03:40:00 AM	30.255
406	07/28/19 03:45:00 AM	30.255
407	07/28/19 03:50:00 AM	30.255
408	07/28/19 03:55:00 AM	30.255
409	07/28/19 04:00:00 AM	30.255
410	07/28/19 04:05:00 AM	30.154
411	07/28/19 04:10:00 AM	30.154
