Temp,Species,Colony,Population,Genotype,Replicate,Tank,Fo,Fm,FvFm,AbsTemp,heat32,load32,heat33,load33,heat34,load34,heat35,load35
38,Porites,3,Exposed,Exp3,A,38A,339,557,0.391,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,4,Exposed,Exp4,A,38A,134,240,0.442,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,5,Exposed,Exp5,A,38A,478,613,0.22,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,1,Protected,Pro1,A,38A,541,1055,0.487,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,2,Protected,Pro2,A,38A,359,514,0.302,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,3,Protected,Pro3,A,38A,299,435,0.313,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,4,Protected,Pro4,A,38A,153,228,0.329,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,5,Protected,Pro5,A,38A,154,307,0.498,38.02181818,6.021818182,1560.937005,5.021818182,1244.857915,4.021818182,935.4186418,3.021818182,653.8885206
38,Porites,1,Exposed,Exp1,B,38B,120,184,0.348,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,2,Exposed,Exp2,B,38B,276,436,0.367,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,3,Exposed,Exp3,B,38B,524,906,0.422,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,4,Exposed,Exp4,B,38B,262,368,0.288,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,5,Exposed,Exp5,B,38B,596,1480,0.597,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,1,Protected,Pro1,B,38B,335,567,0.409,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,2,Protected,Pro2,B,38B,226,450,0.498,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,3,Protected,Pro3,B,38B,296,357,0.171,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,4,Protected,Pro4,B,38B,576,719,0.199,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
38,Porites,5,Protected,Pro5,B,38B,,,,38.03272727,6.032727273,1565.614357,5.032727273,1248.065266,4.032727273,937.955487,3.032727273,656.2662273
